"customerkey","first_order_date","cohort_year","second_order_date","second_order_lag"
2052793,"2021-09-10","2021","2022-09-30",385
284082,"2022-12-23","2022","2023-12-09",351
647027,"2023-02-13","2023","2023-08-19",187
1296052,"2021-12-22","2021","2023-01-25",399
1625439,"2022-05-06","2022","2022-10-26",173
742130,"2022-07-07","2022","2022-07-14",7
421200,"2020-01-31","2020","2023-01-03",1068
1984328,"2020-01-08","2020","2023-08-16",1316
1767343,"2022-05-04","2022","2022-12-26",236
833869,"2021-08-18","2021","2023-03-02",561
198466,"2020-12-31","2020","2021-11-14",318
177125,"2021-02-24","2021","2021-09-03",191
825532,"2022-10-15","2022","2023-02-15",123
515743,"2022-05-12","2022","2022-06-02",21
2095384,"2020-05-09","2020","2022-05-19",740
1813936,"2021-10-10","2021","2023-03-16",522
1738146,"2020-09-24","2020","2022-10-08",744
1797428,"2022-07-04","2022","2022-08-16",43
498052,"2021-03-08","2021","2023-07-19",863
1731334,"2021-07-22","2021","2021-09-29",69
1728923,"2023-03-22","2023","2023-07-28",128
1619139,"2022-10-02","2022","2022-11-23",52
2042743,"2020-02-29","2020","2022-09-19",933
1286903,"2022-05-14","2022","2022-09-28",137
2013585,"2023-01-26","2023","2023-10-21",268
1334991,"2022-07-09","2022","2023-02-09",215
568185,"2022-08-05","2022","2022-09-30",56
477888,"2022-06-09","2022","2022-08-31",83
1605371,"2021-05-30","2021","2022-12-02",551
1485752,"2020-11-12","2020","2021-06-09",209
1230100,"2021-01-05","2021","2022-07-02",543
422872,"2022-02-25","2022","2022-12-12",290
2000711,"2021-04-14","2021","2023-03-03",688
1694591,"2021-10-08","2021","2023-05-31",600
1537698,"2021-10-23","2021","2022-05-12",201
1026278,"2020-01-03","2020","2022-12-31",1093
36550,"2021-05-27","2021","2023-02-09",623
328725,"2021-07-12","2021","2022-11-12",488
1305986,"2020-05-08","2020","2021-05-03",360
1687648,"2023-05-17","2023","2023-08-29",104
1211090,"2022-06-25","2022","2022-11-16",144
481660,"2020-02-06","2020","2023-02-17",1107
409775,"2022-06-30","2022","2023-12-29",547
1983185,"2020-11-25","2020","2021-03-20",115
2008633,"2022-01-04","2022","2022-04-06",92
1765469,"2020-07-18","2020","2023-03-11",966
1532078,"2022-11-02","2022","2022-12-12",40
1202870,"2023-04-14","2023","2023-05-20",36
1391309,"2020-03-10","2020","2021-10-27",596
314238,"2022-01-20","2022","2022-06-02",133
611499,"2022-02-09","2022","2023-01-16",341
1763356,"2022-06-15","2022","2022-07-20",35
1521148,"2022-11-29","2022","2023-10-28",333
1423204,"2020-05-13","2020","2022-05-16",733
804582,"2021-09-08","2021","2022-04-09",213
1579726,"2022-03-17","2022","2022-07-20",125
826606,"2021-06-08","2021","2023-08-17",800
549819,"2022-06-02","2022","2023-11-25",541
1665337,"2022-06-10","2022","2023-02-18",253
1547119,"2021-09-15","2021","2023-02-18",521
1857593,"2021-03-11","2021","2022-04-22",407
821783,"2023-02-21","2023","2023-03-21",28
451177,"2022-03-09","2022","2023-01-31",328
422573,"2020-01-24","2020","2022-09-17",967
1082275,"2023-01-17","2023","2023-09-16",242
395378,"2021-02-13","2021","2021-10-19",248
729398,"2022-09-22","2022","2023-11-29",433
1404961,"2023-03-14","2023","2023-10-17",217
1389699,"2020-01-03","2020","2021-08-21",596
481044,"2022-09-12","2022","2023-08-14",336
1830647,"2020-05-16","2020","2022-09-03",840
2046209,"2021-08-03","2021","2022-03-01",210
655361,"2021-10-02","2021","2023-11-13",772
852820,"2022-12-17","2022","2023-12-16",364
1651852,"2020-12-19","2020","2021-12-17",363
556758,"2021-06-18","2021","2022-04-28",314
282485,"2021-12-11","2021","2022-05-27",167
1526652,"2021-10-02","2021","2022-11-25",419
670244,"2022-08-18","2022","2023-02-17",183
2069359,"2021-12-02","2021","2022-02-03",63
1814323,"2022-04-27","2022","2022-07-28",92
1625006,"2021-11-20","2021","2022-01-30",71
616319,"2021-12-23","2021","2022-06-05",164
1598475,"2021-09-09","2021","2022-02-24",168
1315222,"2020-01-17","2020","2021-08-29",590
359618,"2022-05-03","2022","2022-09-02",122
1345909,"2020-08-07","2020","2022-10-20",804
27554,"2021-05-31","2021","2021-12-30",213
404688,"2023-09-29","2023","2023-11-25",57
2077225,"2021-06-27","2021","2021-09-10",75
1828620,"2022-01-17","2022","2022-12-08",325
131137,"2022-12-03","2022","2023-01-04",32
679173,"2023-10-11","2023","2023-12-16",66
618430,"2022-10-05","2022","2022-10-13",8
169126,"2021-05-29","2021","2021-09-08",102
1648866,"2021-11-24","2021","2023-07-18",601
598257,"2023-05-31","2023","2023-08-05",66
341232,"2021-01-12","2021","2023-05-17",855
1725957,"2022-12-14","2022","2022-12-31",17
1390474,"2021-09-28","2021","2022-04-21",205
822102,"2022-05-07","2022","2023-02-23",292
1537938,"2021-10-29","2021","2023-08-12",652
349839,"2021-05-14","2021","2023-04-19",705
1336719,"2023-05-27","2023","2023-06-21",25
214919,"2021-06-03","2021","2022-11-28",543
1758468,"2022-05-04","2022","2023-09-14",498
1800972,"2020-02-17","2020","2022-12-05",1022
302026,"2022-10-07","2022","2022-10-27",20
435641,"2020-12-23","2020","2022-10-06",652
1579529,"2022-10-14","2022","2023-10-12",363
1920310,"2021-09-20","2021","2022-10-10",385
1652000,"2022-07-21","2022","2023-03-27",249
346500,"2022-08-06","2022","2023-01-30",177
340531,"2021-08-19","2021","2023-01-05",504
552749,"2021-12-03","2021","2022-01-10",38
2081261,"2022-04-16","2022","2023-04-25",374
632878,"2020-05-10","2020","2022-09-06",849
1309916,"2021-06-12","2021","2022-02-14",247
143632,"2020-03-13","2020","2020-05-19",67
1289158,"2023-01-15","2023","2023-09-29",257
56343,"2022-07-14","2022","2023-08-17",399
1634685,"2020-12-29","2020","2023-12-15",1081
956395,"2021-09-10","2021","2021-10-16",36
2023462,"2022-03-18","2022","2023-11-05",597
1025253,"2021-12-02","2021","2023-04-11",495
1644856,"2022-08-26","2022","2022-09-23",28
980770,"2020-06-12","2020","2021-11-20",526
1599182,"2020-07-30","2020","2021-04-30",274
518193,"2022-11-05","2022","2023-05-23",199
1808846,"2022-09-16","2022","2022-11-19",64
813181,"2021-02-18","2021","2023-09-02",926
1942383,"2021-12-15","2021","2022-01-25",41
1390773,"2021-08-24","2021","2023-02-03",528
324276,"2020-03-11","2020","2022-05-28",808
1342272,"2021-07-26","2021","2023-02-25",579
1270940,"2022-12-27","2022","2023-06-29",184
539990,"2022-09-21","2022","2023-04-29",220
1546319,"2022-05-05","2022","2022-06-08",34
1331335,"2022-10-19","2022","2023-02-04",108
1213315,"2021-10-30","2021","2022-12-14",410
1331226,"2020-01-31","2020","2022-02-23",754
917672,"2022-11-09","2022","2023-11-03",359
1347486,"2022-01-27","2022","2023-06-22",511
1871782,"2021-12-28","2021","2022-10-20",296
456616,"2022-07-08","2022","2023-03-03",238
1974734,"2021-11-13","2021","2023-03-23",495
1692744,"2023-01-10","2023","2023-02-25",46
73030,"2023-01-04","2023","2023-12-22",352
1299020,"2022-07-02","2022","2023-08-09",403
1987396,"2022-08-13","2022","2022-09-17",35
456885,"2022-05-16","2022","2023-09-01",473
168083,"2022-08-17","2022","2022-12-17",122
574013,"2022-04-23","2022","2023-06-13",416
1490002,"2023-02-02","2023","2023-11-21",292
1308132,"2021-09-28","2021","2021-12-30",93
1650064,"2020-01-08","2020","2022-10-19",1015
409531,"2020-08-08","2020","2022-02-16",557
449842,"2021-05-17","2021","2022-05-07",355
715730,"2022-01-20","2022","2022-06-09",140
1823713,"2021-05-06","2021","2023-07-26",811
1936242,"2023-05-26","2023","2023-07-01",36
2096199,"2022-03-08","2022","2022-03-09",1
791195,"2021-03-16","2021","2023-10-03",931
229315,"2022-10-12","2022","2023-10-25",378
119871,"2022-03-04","2022","2022-11-05",246
869342,"2022-08-18","2022","2023-09-21",399
1200509,"2021-06-30","2021","2022-04-28",302
216272,"2021-10-07","2021","2022-02-19",135
1402179,"2022-06-05","2022","2023-08-29",450
1802687,"2021-10-18","2021","2022-03-10",143
1903061,"2021-01-07","2021","2021-10-05",271
1449189,"2022-09-08","2022","2022-10-20",42
649,"2022-05-16","2022","2023-05-22",371
282505,"2020-05-01","2020","2022-10-15",897
494874,"2021-07-22","2021","2022-10-01",436
1980773,"2022-08-09","2022","2023-09-02",389
1232841,"2020-02-13","2020","2020-02-22",9
714566,"2022-07-26","2022","2022-08-26",31
1642149,"2023-03-21","2023","2023-06-06",77
1450564,"2021-08-21","2021","2022-02-21",184
1213569,"2020-09-04","2020","2022-07-13",677
886120,"2020-01-30","2020","2022-08-17",930
416457,"2021-08-14","2021","2023-09-30",777
474104,"2023-05-25","2023","2023-07-24",60
2036266,"2022-09-15","2022","2023-02-04",142
495215,"2022-06-07","2022","2023-11-04",515
786420,"2023-08-10","2023","2023-08-17",7
1699175,"2021-10-29","2021","2022-05-04",187
324448,"2023-01-28","2023","2023-10-14",259
1245559,"2022-01-11","2022","2023-05-02",476
461798,"2022-10-13","2022","2022-12-29",77
2072311,"2020-12-01","2020","2022-02-04",430
90958,"2023-03-14","2023","2023-10-24",224
1896768,"2022-10-18","2022","2023-05-27",221
1751265,"2022-12-03","2022","2023-06-07",186
166905,"2022-05-07","2022","2022-11-21",198
1768657,"2020-02-25","2020","2022-11-10",989
187837,"2021-08-10","2021","2022-10-19",435
502515,"2022-12-06","2022","2023-02-03",59
1540012,"2021-12-07","2021","2022-02-25",80
568465,"2022-08-13","2022","2023-05-22",282
1970056,"2021-07-14","2021","2022-11-15",489
1092522,"2022-10-28","2022","2023-08-25",301
894317,"2022-09-27","2022","2022-12-16",80
496043,"2021-06-17","2021","2022-10-21",491
1068814,"2022-01-08","2022","2023-09-12",612
897929,"2022-10-07","2022","2023-02-25",141
1320914,"2021-11-12","2021","2023-05-04",538
1223687,"2022-01-29","2022","2023-06-07",494
889461,"2020-08-13","2020","2022-05-26",651
1782901,"2022-01-12","2022","2022-06-18",157
1786981,"2022-02-17","2022","2022-10-04",229
1684875,"2023-07-20","2023","2023-08-22",33
1201696,"2021-10-11","2021","2023-12-18",798
378595,"2023-02-04","2023","2023-11-18",287
1392438,"2022-10-25","2022","2023-03-16",142
1779821,"2021-09-11","2021","2023-01-25",501
252022,"2023-11-06","2023","2023-11-29",23
2007824,"2021-08-07","2021","2022-09-07",396
1328836,"2022-07-02","2022","2022-10-07",97
1526785,"2022-02-25","2022","2023-10-21",603
1644361,"2022-06-16","2022","2022-07-15",29
1716587,"2021-08-05","2021","2022-05-26",294
1292155,"2022-06-23","2022","2023-09-16",450
1461012,"2021-02-15","2021","2021-05-25",99
1437815,"2022-06-08","2022","2023-11-28",538
1534507,"2020-02-23","2020","2022-02-24",732
1734021,"2020-06-26","2020","2023-02-24",973
1224498,"2020-03-14","2020","2023-01-12",1034
218771,"2020-02-13","2020","2022-10-26",986
316035,"2021-04-28","2021","2023-05-27",759
1386206,"2022-09-13","2022","2023-12-28",471
585832,"2022-03-01","2022","2023-03-18",382
1416736,"2022-09-12","2022","2023-02-17",158
1975753,"2021-06-16","2021","2023-09-25",831
2051902,"2020-02-15","2020","2022-02-19",735
1205945,"2020-04-25","2020","2021-08-17",479
1629890,"2021-12-24","2021","2022-03-10",76
374779,"2021-06-30","2021","2022-12-06",524
2024515,"2023-05-13","2023","2023-07-27",75
12169,"2022-01-21","2022","2022-02-23",33
867980,"2021-11-17","2021","2023-02-20",460
1394489,"2022-07-21","2022","2022-08-08",18
2047459,"2022-10-25","2022","2023-09-25",335
113759,"2021-10-04","2021","2022-11-23",415
1987215,"2021-08-10","2021","2022-11-24",471
1279407,"2023-01-24","2023","2023-11-17",297
1670796,"2022-07-30","2022","2023-12-19",507
786545,"2020-01-31","2020","2023-06-19",1235
870096,"2023-09-09","2023","2023-10-17",38
1576856,"2022-01-03","2022","2022-11-26",327
1486797,"2022-03-17","2022","2023-11-07",600
1641369,"2023-01-26","2023","2023-09-11",228
428923,"2022-02-02","2022","2023-07-08",521
209267,"2022-03-08","2022","2023-05-16",434
1325990,"2022-06-22","2022","2023-12-05",531
317346,"2022-02-17","2022","2023-10-26",616
620188,"2022-10-08","2022","2023-08-05",301
375068,"2022-08-31","2022","2023-09-09",374
1377621,"2021-06-05","2021","2022-03-01",269
764842,"2020-04-09","2020","2021-05-29",415
1505489,"2021-01-29","2021","2022-02-13",380
1480814,"2020-01-15","2020","2022-10-04",993
1745481,"2022-02-19","2022","2022-06-04",105
582703,"2020-02-18","2020","2021-07-16",514
116987,"2023-06-29","2023","2023-10-05",98
2012099,"2020-02-21","2020","2021-10-30",617
362502,"2021-03-22","2021","2023-06-15",815
362307,"2021-01-21","2021","2021-06-04",134
1931926,"2022-07-30","2022","2023-10-16",443
116401,"2021-12-21","2021","2022-02-12",53
142421,"2023-05-26","2023","2023-11-03",161
254374,"2022-09-30","2022","2022-11-16",47
627134,"2022-12-28","2022","2023-02-23",57
