"customerkey","total","cohort_year","customer_group","m_1","m_3","m_6","m_12"
10319,300.74501905799997,"2022","Low Value","0","0","0","0"
10388,50.166396456,"2023","Low Value","0","0","0","0"
10407,419.51373099999995,"2023","Low Value","0","0","0","0"
10514,6413.1151519512005,"2022","High Value","0","0","0","0"
10578,6752.550219676,"2023","High Value","0","0","1","0"
10808,790.16985,"2021","Medium Value","0","0","0","0"
10952,445.56592542,"2022","Low Value","0","0","0","0"
11414,5746.77413407,"2022","High Value","0","0","0","1"
11462,383.36494812,"2022","Low Value","0","0","0","0"
11515,107.878719576,"2023","Low Value","0","0","0","0"
11632,729.963163618,"2023","Medium Value","0","0","0","0"
11709,354.6185641614,"2021","Low Value","0","0","0","0"
11775,7691.941241058,"2023","High Value","1","0","0","0"
11843,2513.9227428,"2020","Medium Value","0","0","0","0"
12122,827.4212836185,"2021","Medium Value","0","0","0","0"
12134,140.418166843,"2024","Low Value","0","0","0","0"
12169,5776.3705695876,"2022","High Value","0","1","1","0"
12184,5196.079359474499,"2022","High Value","0","0","0","1"
12217,407.4060085914,"2022","Low Value","0","0","0","0"
12271,219.317664202,"2020","Low Value","0","0","0","0"
12280,3541.0966656,"2023","High Value","0","0","0","0"
12310,2510.5169009951996,"2022","Medium Value","0","0","0","0"
12412,1181.954010447,"2021","Medium Value","0","0","0","0"
12432,7178.700246971999,"2022","High Value","0","0","0","1"
12537,327.98684,"2023","Low Value","0","0","0","0"
12551,3150.7665296580003,"2022","Medium Value","0","0","0","0"
12558,1420.660402576,"2022","Medium Value","0","0","0","0"
12643,396.12708828,"2024","Low Value","0","0","0","0"
12689,1696.2642118007998,"2021","Medium Value","0","0","0","0"
12854,4864.9598000000005,"2022","High Value","0","0","0","0"
12995,4787.80856178,"2021","High Value","0","0","0","1"
13012,9928.0291660104,"2021","High Value","0","0","0","0"
13257,5539.620287264,"2023","High Value","0","0","0","0"
13375,6832.556121370801,"2021","High Value","0","1","0","0"
13436,587.407005,"2024","Medium Value","0","0","0","0"
13565,1537.3713599999999,"2023","Medium Value","0","0","0","0"
13570,7452.809380004601,"2021","High Value","0","0","0","0"
13721,2116.75131,"2021","Medium Value","0","0","0","0"
13872,6626.677482099998,"2023","High Value","0","0","0","0"
13910,6854.681064,"2022","High Value","0","0","0","0"
13926,955.351284396,"2020","Medium Value","0","0","0","0"
13958,2427.5595828102,"2022","Medium Value","0","0","0","0"
14141,5314.872180799999,"2020","High Value","0","0","0","0"
14322,244.685029632,"2023","Low Value","0","0","0","0"
14425,11387.534894832002,"2023","High Value","0","0","0","0"
14428,4094.7734997999996,"2022","High Value","0","0","0","0"
14553,2250.7195273199995,"2023","Medium Value","0","0","0","0"
14629,6940.8612441,"2024","High Value","0","0","0","0"
14680,1436.1892318540001,"2022","Medium Value","0","0","0","0"
14757,99.9252936,"2022","Low Value","0","0","0","0"
15008,8634.932089875,"2020","High Value","0","0","0","0"
15185,764.4220465955,"2021","Medium Value","0","0","0","0"
15259,1607.73664698,"2022","Medium Value","0","0","0","0"
15296,4917.659062779,"2021","High Value","0","0","0","0"
15390,6010.5573085908,"2020","High Value","0","0","0","0"
15402,1889.6705304000002,"2023","Medium Value","0","0","0","0"
15426,856.94814,"2023","Medium Value","0","0","0","0"
15651,509.9425848,"2022","Low Value","0","0","0","0"
15679,9574.5400058,"2023","High Value","0","0","0","0"
15730,2425.6688313600002,"2024","Medium Value","0","0","0","0"
15841,332.969880672,"2023","Low Value","0","0","0","0"
15852,1959.22931463,"2023","Medium Value","0","0","0","0"
15908,173.258281746,"2022","Low Value","0","0","0","0"
15917,6383.514592019999,"2023","High Value","0","0","0","1"
15993,978.4153080000001,"2020","Medium Value","0","0","0","0"
16067,2848.1436000000003,"2023","Medium Value","0","0","0","0"
16099,2784.944915072,"2022","Medium Value","0","0","0","0"
16108,6638.8608,"2021","High Value","0","0","0","0"
16243,648.054340506,"2022","Medium Value","0","0","0","0"
16352,1974.1132157499999,"2023","Medium Value","0","0","0","0"
16455,5512.027229341,"2023","High Value","0","1","0","0"
16901,4085.13955196,"2022","High Value","0","0","0","1"
16902,4945.935923709,"2022","High Value","0","0","0","0"
16962,185.5659078,"2020","Low Value","0","0","0","0"
16984,3224.5463736419997,"2022","Medium Value","0","0","0","0"
17150,3455.1027504559997,"2022","Medium Value","0","0","0","0"
17456,17240.983637112,"2022","High Value","0","0","0","0"
17467,46.600117632,"2023","Low Value","0","0","0","0"
17627,3121.4114003100003,"2022","Medium Value","0","0","0","0"
17677,8203.521598999998,"2023","High Value","0","0","0","0"
17731,6933.65043392,"2022","High Value","0","0","0","0"
17751,4580.7322205,"2023","High Value","0","0","0","0"
17835,1117.09025,"2023","Medium Value","0","0","0","0"
17907,3226.4512883579996,"2023","Medium Value","0","0","0","0"
17924,14347.518302449202,"2022","High Value","0","0","0","0"
17977,2137.5480000000002,"2021","Medium Value","0","0","0","0"
18098,6811.219350096,"2023","High Value","0","0","0","0"
18111,2185.6601,"2022","Medium Value","0","0","0","0"
18212,2351.3188184,"2023","Medium Value","0","0","0","0"
18372,832.02879,"2023","Medium Value","0","0","0","0"
18374,3855.277055507999,"2022","High Value","0","0","1","0"
18390,5702.53992,"2022","High Value","0","0","0","0"
18475,2619.2260619999997,"2022","Medium Value","0","0","0","0"
18508,536.6349326100001,"2020","Medium Value","0","0","0","0"
18906,189.739499028,"2023","Low Value","0","0","0","0"
19057,4867.889170956,"2022","High Value","0","0","0","0"
19112,1991.5301325599999,"2022","Medium Value","0","0","0","0"
19125,170.2012932,"2022","Low Value","0","0","0","0"
19154,17255.844774560002,"2022","High Value","0","0","0","0"
19194,353.1752037,"2022","Low Value","0","0","0","0"
19202,18.9162606906,"2020","Low Value","0","0","0","0"
19302,471.17424000000005,"2023","Low Value","0","0","0","0"
19337,14497.1265672171,"2021","High Value","0","0","1","0"
19420,977.4388833084001,"2021","Medium Value","0","0","0","0"
19430,1156.8661439999998,"2022","Medium Value","0","0","0","0"
19629,2517.87301605,"2022","Medium Value","0","0","0","0"
20074,11366.532108450001,"2022","High Value","0","0","0","0"
20111,983.005233564,"2022","Medium Value","0","0","0","0"
20153,1961.4071166899998,"2021","Medium Value","0","0","0","0"
20186,728.21011144,"2022","Medium Value","0","0","0","0"
20211,242.538108912,"2023","Low Value","0","0","0","0"
20596,2142.1666003500004,"2022","Medium Value","0","0","0","0"
20610,4408.242167655,"2021","High Value","0","0","0","0"
20780,7315.02888656,"2024","High Value","0","0","0","0"
20853,4704.0154704972,"2021","High Value","0","0","0","0"
21121,6305.742711232,"2022","High Value","0","0","0","1"
21500,1422.3088639999999,"2023","Medium Value","0","0","0","0"
21596,6015.341838899999,"2021","High Value","0","0","0","0"
21696,7351.550293823999,"2023","High Value","0","0","0","0"
21823,1168.0788784574,"2020","Medium Value","0","0","0","0"
21912,13950.291898080002,"2021","High Value","0","0","0","0"
21958,661.28590323,"2024","Medium Value","0","0","0","0"
22430,431.12507130000006,"2023","Low Value","0","0","0","0"
22458,11765.426981088001,"2022","High Value","0","0","1","0"
22505,4383.76486224,"2020","High Value","0","0","0","0"
22538,1662.62659636,"2022","Medium Value","0","0","0","0"
22638,1689.1746023950004,"2022","Medium Value","0","0","0","0"
22748,417.798364693,"2020","Medium Value","0","0","0","0"
22769,2406.0975648,"2022","Medium Value","0","0","0","0"
22889,427.8175904664,"2022","Low Value","0","0","0","0"
22996,3334.698642661,"2023","High Value","0","0","0","0"
23010,524.0842972,"2022","Low Value","0","0","0","0"
23067,2677.5768803319997,"2024","Medium Value","0","0","0","0"
23141,8001.0537650262,"2021","High Value","0","0","0","1"
23169,1770.4954761720003,"2022","Medium Value","0","0","0","0"
23223,2233.7718380999995,"2022","Medium Value","0","0","0","0"
23234,11838.048549884,"2022","High Value","0","0","0","0"
23364,513.8077455,"2020","Medium Value","0","0","0","0"
23550,4430.4295317119995,"2021","High Value","0","0","0","0"
23758,6504.495218,"2022","High Value","0","0","0","0"
23883,691.1092881000001,"2020","Medium Value","0","0","0","0"
23892,950.4788572,"2024","Medium Value","0","0","0","0"
23896,5914.0228210000005,"2022","High Value","0","0","0","0"
24054,9480.36171411,"2023","High Value","0","0","0","0"
24179,235.98972792360001,"2022","Low Value","0","0","0","0"
24196,17419.0028313,"2022","High Value","0","0","0","0"
24247,114.633266824,"2024","Low Value","0","0","0","0"
24415,1561.944384,"2021","Medium Value","0","0","0","0"
24453,1390.705324425,"2021","Medium Value","0","0","0","0"
24479,2222.1842895,"2023","Medium Value","0","0","0","0"
24536,1275.6379711140003,"2022","Medium Value","0","0","0","0"
24785,6135.260898060001,"2023","High Value","0","0","0","0"
24813,915.621498,"2022","Medium Value","0","0","0","0"
24882,74.6010243,"2023","Low Value","0","0","0","0"
24899,766.791182255,"2023","Medium Value","0","0","0","0"
25344,797.6063512871999,"2022","Medium Value","0","0","0","0"
25366,1921.6882763016004,"2022","Medium Value","0","0","0","0"
25608,679.36931425035,"2020","Medium Value","0","0","0","0"
25952,3638.0255918584,"2020","High Value","0","0","0","1"
26032,89.7687414,"2023","Low Value","0","0","0","0"
26115,1746.74039562,"2020","Medium Value","0","0","0","0"
26158,347.46904206,"2022","Low Value","0","0","0","0"
26278,762.405767944,"2023","Medium Value","0","0","0","0"
26300,1590.28576455,"2023","Medium Value","0","0","0","0"
26410,1295.7991200000001,"2022","Medium Value","0","0","0","0"
26526,3168.4376024999997,"2020","Medium Value","0","0","0","0"
26551,4410.7042284,"2022","High Value","0","0","0","0"
26742,2530.5645041850003,"2022","Medium Value","0","0","0","1"
26910,3023.6051826688,"2021","Medium Value","0","0","0","0"
27020,2042.45836592,"2020","Medium Value","0","0","0","0"
27519,5189.6860962912,"2020","High Value","0","0","0","0"
27525,5831.250259375,"2022","High Value","0","0","0","1"
27554,9219.464097052401,"2021","High Value","0","0","0","1"
27759,1028.15719479,"2021","Medium Value","0","0","0","0"
27868,826.1687969400001,"2021","Medium Value","0","0","0","0"
27937,4419.0987648192,"2021","High Value","0","0","0","0"
28136,337.28169912799996,"2023","Low Value","0","0","0","0"
28217,8686.0713819,"2023","High Value","0","0","0","0"
28388,304.155495,"2022","Low Value","0","0","0","0"
28413,3968.492094,"2024","High Value","0","0","0","0"
28422,1749.5633911500001,"2020","Medium Value","0","0","0","0"
28450,37.81806219,"2023","Low Value","0","0","0","0"
28475,20.2480564,"2023","Low Value","0","0","0","0"
28508,4544.970048399,"2023","High Value","0","0","0","0"
28764,3363.076694583,"2023","High Value","0","0","0","1"
28809,3795.103358772001,"2023","High Value","0","0","0","0"
28943,11649.412248418801,"2021","High Value","0","0","1","0"
29023,358.38162474,"2023","Low Value","0","0","0","0"
29048,9090.61120315,"2022","High Value","0","0","0","0"
29148,1677.3407545999999,"2024","Medium Value","0","0","0","0"
29229,35853.529062774,"2022","High Value","0","0","1","1"
29326,918.5141071999999,"2022","Medium Value","0","0","0","0"
29438,4370.715622000001,"2020","High Value","0","0","0","0"
29453,819.5806223000001,"2023","Medium Value","0","0","0","0"
29464,1514.8147068,"2022","Medium Value","0","0","0","0"
29541,2753.5080152115997,"2020","Medium Value","0","0","0","0"
29619,462.95884799999993,"2023","Low Value","0","0","0","0"
29640,173.20491243,"2022","Low Value","0","0","0","0"
29761,2983.7844720000003,"2023","Medium Value","0","0","0","0"
29895,739.657242,"2023","Medium Value","0","0","0","1"
29921,7270.937407931999,"2023","High Value","0","0","0","0"
29968,2955.9993567204,"2022","Medium Value","0","0","0","0"
30023,286.3691145,"2022","Low Value","0","0","0","0"
30034,906.67175066,"2022","Medium Value","0","0","0","0"
30035,2994.021044,"2022","Medium Value","0","0","0","0"
30191,3799.878088394,"2023","High Value","0","0","0","0"
30713,3498.8854303570497,"2022","Medium Value","0","0","0","0"
30835,5401.725127914,"2023","High Value","0","0","0","1"
30882,4504.5447300000005,"2022","High Value","0","0","0","0"
30970,4957.259923707001,"2022","High Value","0","0","0","0"
30989,1732.7637912,"2021","Medium Value","0","0","0","0"
31026,205.95238559999999,"2023","Low Value","0","0","0","0"
31057,13689.1860369878,"2022","High Value","0","0","0","1"
31087,14794.552639200001,"2022","High Value","0","0","0","0"
31120,3354.30337458,"2022","Medium Value","0","1","0","0"
31213,310.55984365579997,"2022","Low Value","0","0","0","0"
31251,1891.8826266080002,"2024","Medium Value","0","0","0","0"
31307,12888.364861885002,"2020","High Value","0","0","0","0"
31418,4510.579132468501,"2020","High Value","0","0","0","0"
31439,979.6095467,"2023","Medium Value","0","0","0","0"
31492,1173.81915648,"2021","Medium Value","0","0","0","0"
31620,82.07754282,"2021","Low Value","0","0","0","0"
31840,293.8333026096,"2022","Low Value","0","0","0","0"
31950,2826.6162035400002,"2023","Medium Value","0","0","0","0"
32294,17237.565452215902,"2021","High Value","0","0","0","0"
32338,2892.2856262523997,"2021","Medium Value","0","0","0","0"
32447,1925.2864065500003,"2021","Medium Value","0","0","0","0"
32453,4470.7869156,"2022","High Value","0","0","0","0"
32631,456.31773123299996,"2022","Low Value","0","0","0","0"
32695,1008.3414880000001,"2023","Medium Value","0","0","0","0"
32729,1452.28314519,"2020","Medium Value","0","0","0","0"
32883,9917.069520265599,"2021","High Value","0","0","0","0"
33122,2360.1836663999998,"2022","Medium Value","0","0","0","0"
33159,275.5847382,"2022","Low Value","0","0","0","0"
33215,13291.733603050001,"2020","High Value","0","0","0","0"
33268,232.2492947478,"2022","Low Value","0","0","0","0"
33285,3882.55909982,"2023","High Value","0","0","0","0"
33305,5.8121034192,"2020","Low Value","0","0","0","0"
33427,383.8662005,"2023","Low Value","0","0","0","0"
33562,208.04615835999996,"2022","Low Value","0","0","0","0"
33607,6398.592174000001,"2022","High Value","0","0","0","0"
33615,2518.790569992,"2024","Medium Value","0","0","0","0"
33640,5922.16117766,"2022","High Value","0","0","0","0"
33663,1540.662936636,"2022","Medium Value","0","0","0","0"
33680,4307.0073649999995,"2024","High Value","0","0","0","0"
34027,1069.631008,"2023","Medium Value","0","0","0","0"
34089,14679.4541330376,"2021","High Value","0","0","0","0"
34115,1001.8964390400001,"2022","Medium Value","0","0","0","0"
34131,4012.8998705999998,"2024","High Value","0","0","0","0"
34267,6296.8543322986,"2022","High Value","0","0","0","0"
34354,828.7993475999999,"2022","Medium Value","0","0","0","0"
34384,3441.514073871,"2023","High Value","0","0","0","0"
34411,4429.685073025,"2023","High Value","0","0","0","0"
34488,1781.4448512,"2022","Medium Value","0","0","0","0"
34568,487.2237105120001,"2024","Medium Value","0","0","0","0"
34773,519.18414508,"2024","Medium Value","0","0","0","0"
35108,2650.403856555,"2022","Medium Value","0","0","0","0"
35144,14086.420483009999,"2022","High Value","0","1","0","0"
35270,8716.562871976,"2022","High Value","0","0","0","0"
35503,500.70005127999997,"2023","Medium Value","0","0","0","0"
35654,48.086890000000004,"2022","Low Value","0","0","0","0"
36031,140.16440074,"2022","Low Value","0","0","0","0"
36194,58.040060478399994,"2022","Low Value","0","0","0","0"
36285,805.761929889,"2023","Medium Value","0","0","0","0"
36414,1151.949073128,"2023","Medium Value","0","0","0","0"
36550,4220.3129319144,"2021","High Value","0","0","0","0"
36690,38.248928784,"2024","Low Value","0","0","0","0"
36739,7413.944395344,"2023","High Value","0","0","0","0"
36795,104.92853292,"2020","Low Value","0","0","0","0"
36925,7688.495001486001,"2022","High Value","0","0","0","1"
36933,6664.787266913999,"2024","High Value","0","0","0","0"
36943,507.17040000000003,"2023","Medium Value","0","0","0","0"
37127,175.59019464,"2021","Low Value","0","0","0","0"
37293,243.37474110000002,"2021","Low Value","0","0","0","0"
37298,1881.031134208,"2021","Medium Value","0","0","0","0"
37346,4439.00955624,"2023","High Value","0","0","0","0"
37382,4623.304013999999,"2024","High Value","0","0","0","0"
37407,302.50331040000003,"2023","Low Value","0","0","0","0"
37527,1662.1980090099999,"2022","Medium Value","0","0","0","0"
37577,189.2588705,"2022","Low Value","0","0","0","0"
37618,5742.668452896,"2023","High Value","0","0","0","0"
37827,6.9614248000000005,"2023","Low Value","0","0","0","0"
37985,17.1939685614,"2021","Low Value","0","0","0","0"
38037,3523.75114038,"2021","Medium Value","0","1","0","0"
38049,4534.87865022,"2022","High Value","0","0","0","0"
38054,121.40741088,"2021","Low Value","0","0","0","0"
38139,175.9201514,"2023","Low Value","0","0","0","0"
38185,4442.110875065,"2022","High Value","0","0","0","0"
38198,31.996046459999995,"2023","Low Value","0","0","0","0"
38215,2121.2889433452,"2022","Medium Value","0","0","0","0"
38258,1834.6440528,"2023","Medium Value","0","0","0","0"
38290,25.53054168,"2024","Low Value","0","0","0","0"
38309,54.09017319999999,"2022","Low Value","0","0","0","0"
38451,2876.9702405399994,"2021","Medium Value","0","0","0","1"
38555,2073.871429032,"2023","Medium Value","0","0","0","0"
38635,162.79132023,"2023","Low Value","0","0","0","0"
38637,1452.3166559999997,"2021","Medium Value","0","0","0","0"
38815,1727.32838847,"2023","Medium Value","0","0","1","0"
38931,7949.3417645,"2023","High Value","0","0","0","0"
38957,1378.1072996,"2022","Medium Value","0","0","0","0"
39090,3571.2335616336,"2020","High Value","0","0","0","0"
39110,1086.69600882,"2022","Medium Value","0","0","1","0"
39117,1502.5132398755998,"2022","Medium Value","0","0","0","0"
39139,8697.504372000001,"2023","High Value","0","0","0","0"
39299,4011.5964704999997,"2023","High Value","0","0","0","0"
39436,8175.225965715999,"2023","High Value","0","0","0","1"
39520,440.80546999999996,"2023","Low Value","0","0","0","0"
39522,973.5876332,"2022","Medium Value","0","0","0","0"
39600,800.890714792,"2021","Medium Value","0","0","0","0"
39686,117.236280672,"2023","Low Value","0","0","0","0"
39710,1025.479298064,"2020","Medium Value","0","0","0","0"
39840,8815.248140349999,"2023","High Value","0","1","0","0"
39857,1595.280181,"2023","Medium Value","0","0","0","0"
39898,1480.4866509047997,"2021","Medium Value","0","0","0","0"
39953,207.954230022,"2022","Low Value","0","0","0","0"
39982,6529.01192965,"2020","High Value","0","0","0","0"
40037,2166.14671086,"2021","Medium Value","0","0","0","0"
40358,1090.8438357204,"2022","Medium Value","0","0","0","0"
40415,3077.5418819332003,"2021","Medium Value","0","0","0","0"
40673,15951.247006200001,"2022","High Value","0","1","0","0"
41245,85.36724330400001,"2022","Low Value","0","0","0","0"
41316,15653.327421843002,"2022","High Value","0","0","1","0"
41329,850.624984,"2022","Medium Value","0","0","0","0"
41332,549.2817467000001,"2020","Medium Value","0","0","0","0"
41380,4257.20085,"2021","High Value","0","0","0","0"
41542,2496.14379,"2024","Medium Value","0","0","0","0"
41625,1918.2257,"2024","Medium Value","0","0","0","0"
41874,821.7496612908001,"2021","Medium Value","0","0","0","0"
41931,377.51849999999996,"2022","Low Value","0","0","0","0"
41937,5326.261436,"2021","High Value","0","0","0","1"
41965,4610.6306793803,"2021","High Value","0","0","0","1"
42128,6561.3586850433,"2021","High Value","0","1","0","0"
42253,3010.7726557134,"2021","Medium Value","0","0","0","0"
42271,7599.0815628,"2024","High Value","0","0","0","0"
42324,473.371796,"2024","Medium Value","0","0","0","0"
42474,2538.101542163,"2023","Medium Value","0","0","0","0"
42506,4292.29123,"2022","High Value","0","0","0","0"
42697,11071.26217092,"2021","High Value","0","0","1","0"
42707,1044.7602984,"2021","Medium Value","0","0","0","0"
42970,478.09544999999997,"2021","Low Value","0","0","0","0"
42971,4060.83414424,"2023","High Value","0","0","0","0"
42987,647.3118645000001,"2023","Medium Value","0","0","0","0"
43154,1851.0210000000002,"2022","Medium Value","0","0","0","0"
43296,204.5049825,"2022","Low Value","0","0","0","0"
43415,10152.6991897,"2022","High Value","0","0","0","0"
43440,1704.1937976000002,"2022","Medium Value","0","0","0","0"
43441,5886.9465429028005,"2021","High Value","0","0","0","0"
43458,86.6046864,"2022","Low Value","0","0","0","0"
43495,255.03092099999998,"2022","Low Value","0","0","0","0"
43675,3251.2670731688,"2020","Medium Value","0","0","0","0"
43811,2699.5551078544,"2022","Medium Value","0","0","1","0"
43965,6189.4944342,"2023","High Value","0","0","0","0"
43990,12512.2207637556,"2022","High Value","0","0","0","0"
43996,3212.41113522,"2022","Medium Value","0","0","0","0"
44164,2804.7396762,"2022","Medium Value","0","0","0","0"
44168,19080.2745896252,"2022","High Value","0","0","0","0"
44421,3696.5772899999997,"2023","High Value","0","0","0","0"
44461,2798.4259638,"2023","Medium Value","0","0","1","0"
44548,230.39499801600002,"2023","Low Value","0","0","0","0"
44549,4821.0024852,"2020","High Value","0","0","0","0"
44550,1185.7459226400001,"2024","Medium Value","0","0","0","0"
44588,2369.1831082500003,"2023","Medium Value","0","0","0","0"
44637,7154.371648142001,"2022","High Value","0","0","0","0"
44678,771.188433675,"2021","Medium Value","0","0","0","0"
44738,183.5346312384,"2021","Low Value","0","0","0","0"
44809,2757.642601545,"2024","High Value","0","0","0","0"
44916,1114.8959842839001,"2022","Medium Value","0","0","0","0"
44972,8184.794252799999,"2023","High Value","0","0","0","0"
45152,55.8628812,"2023","Low Value","0","0","0","0"
45563,2350.3437000000004,"2022","Medium Value","0","0","0","0"
45613,1748.76392712,"2024","Medium Value","0","0","0","0"
45666,596.4972038999999,"2024","Medium Value","0","0","0","0"
45890,282.8000576128,"2021","Low Value","0","0","0","0"
45942,1212.913114,"2023","Medium Value","0","0","0","0"
46050,9095.564462348,"2023","High Value","0","0","0","0"
46087,2098.396859432,"2021","Medium Value","0","0","0","0"
46144,8374.950943200001,"2023","High Value","0","0","0","0"
46156,3054.0217239000003,"2022","Medium Value","0","0","0","0"
46211,11295.86257938,"2021","High Value","0","1","0","0"
46584,1117.8459948,"2021","Medium Value","0","0","0","0"
