;customerkey;cohort_year;month;retirned_customer
123;12122;2021;Month 1;0
124;12134;2024;Month 1;0
125;12169;2022;Month 1;0
126;12184;2022;Month 1;0
127;12217;2022;Month 1;0
128;12271;2020;Month 1;0
129;12280;2023;Month 1;0
130;12310;2022;Month 1;0
131;12412;2021;Month 1;0
132;12432;2022;Month 1;0
133;12537;2023;Month 1;0
134;12551;2022;Month 1;0
135;12558;2022;Month 1;0
136;12643;2024;Month 1;0
137;12689;2021;Month 1;0
138;12854;2022;Month 1;0
139;12995;2021;Month 1;0
140;13012;2021;Month 1;0
141;13257;2023;Month 1;0
142;13375;2021;Month 1;0
143;13436;2024;Month 1;0
144;13565;2023;Month 1;0
145;13570;2021;Month 1;0
146;13721;2021;Month 1;0
147;13872;2023;Month 1;0
148;13910;2022;Month 1;0
149;13926;2020;Month 1;0
150;13958;2022;Month 1;0
151;14141;2020;Month 1;0
152;14322;2023;Month 1;0
153;14425;2023;Month 1;0
154;14428;2022;Month 1;0
155;14553;2023;Month 1;0
156;14629;2024;Month 1;0
157;14680;2022;Month 1;0
158;14757;2022;Month 1;0
159;15008;2020;Month 1;0
160;15185;2021;Month 1;0
161;15259;2022;Month 1;0
162;15296;2021;Month 1;0
163;15390;2020;Month 1;0
164;15402;2023;Month 1;0
165;15426;2023;Month 1;0
166;15651;2022;Month 1;0
167;15679;2023;Month 1;0
168;15730;2024;Month 1;0
169;15841;2023;Month 1;0
170;15852;2023;Month 1;0
171;15908;2022;Month 1;0
172;15917;2023;Month 1;0
173;15993;2020;Month 1;0
174;16067;2023;Month 1;0
175;16099;2022;Month 1;0
176;16108;2021;Month 1;0
177;16243;2022;Month 1;0
178;16352;2023;Month 1;0
179;16455;2023;Month 1;0
180;16901;2022;Month 1;0
181;16902;2022;Month 1;0
182;16962;2020;Month 1;0
183;16984;2022;Month 1;0
184;17150;2022;Month 1;0
185;17456;2022;Month 1;0
186;17467;2023;Month 1;0
187;17627;2022;Month 1;0
188;17677;2023;Month 1;0
189;17731;2022;Month 1;0
190;17751;2023;Month 1;0
191;17835;2023;Month 1;0
192;17907;2023;Month 1;0
193;17924;2022;Month 1;0
194;17977;2021;Month 1;0
195;18098;2023;Month 1;0
196;18111;2022;Month 1;0
197;18212;2023;Month 1;0
198;18372;2023;Month 1;0
199;18374;2022;Month 1;0
200;18390;2022;Month 1;0
201;18475;2022;Month 1;0
202;18508;2020;Month 1;0
203;18906;2023;Month 1;0
204;19057;2022;Month 1;0
205;19112;2022;Month 1;0
206;19125;2022;Month 1;0
207;19154;2022;Month 1;0
208;19194;2022;Month 1;0
209;19202;2020;Month 1;0
210;19302;2023;Month 1;0
211;19337;2021;Month 1;0
212;19420;2021;Month 1;0
213;19430;2022;Month 1;0
214;19629;2022;Month 1;0
215;20074;2022;Month 1;0
216;20111;2022;Month 1;0
217;20153;2021;Month 1;0
218;20186;2022;Month 1;0
219;20211;2023;Month 1;0
220;20596;2022;Month 1;0
221;20610;2021;Month 1;0
222;20780;2024;Month 1;0
223;20853;2021;Month 1;0
224;21121;2022;Month 1;0
225;21500;2023;Month 1;0
226;21596;2021;Month 1;0
227;21696;2023;Month 1;0
228;21823;2020;Month 1;0
229;21912;2021;Month 1;0
230;21958;2024;Month 1;0
231;22430;2023;Month 1;0
232;22458;2022;Month 1;0
233;22505;2020;Month 1;0
234;22538;2022;Month 1;0
235;22638;2022;Month 1;0
236;22748;2020;Month 1;0
237;22769;2022;Month 1;0
238;22889;2022;Month 1;0
239;22996;2023;Month 1;0
240;23010;2022;Month 1;0
241;23067;2024;Month 1;0
242;23141;2021;Month 1;0
243;23169;2022;Month 1;0
244;23223;2022;Month 1;0
245;23234;2022;Month 1;0
246;23364;2020;Month 1;0
247;23550;2021;Month 1;0
248;23758;2022;Month 1;0
249;23883;2020;Month 1;0
250;23892;2024;Month 1;0
251;23896;2022;Month 1;0
252;24054;2023;Month 1;0
253;24179;2022;Month 1;0
254;24196;2022;Month 1;0
255;24247;2024;Month 1;0
256;24415;2021;Month 1;0
257;24453;2021;Month 1;0
258;24479;2023;Month 1;0
259;24536;2022;Month 1;0
260;24785;2023;Month 1;0
261;24813;2022;Month 1;0
262;24882;2023;Month 1;0
263;24899;2023;Month 1;0
264;25344;2022;Month 1;0
265;25366;2022;Month 1;0
266;25608;2020;Month 1;0
267;25952;2020;Month 1;0
268;26032;2023;Month 1;0
269;26115;2020;Month 1;0
270;26158;2022;Month 1;0
271;26278;2023;Month 1;0
272;26300;2023;Month 1;0
273;26410;2022;Month 1;0
274;26526;2020;Month 1;0
275;26551;2022;Month 1;0
276;26742;2022;Month 1;0
277;26910;2021;Month 1;0
278;27020;2020;Month 1;0
279;27519;2020;Month 1;0
280;27525;2022;Month 1;0
281;27554;2021;Month 1;0
282;27759;2021;Month 1;0
283;27868;2021;Month 1;0
284;27937;2021;Month 1;0
285;28136;2023;Month 1;0
286;28217;2023;Month 1;0
287;28388;2022;Month 1;0
288;28413;2024;Month 1;0
289;28422;2020;Month 1;0
290;28450;2023;Month 1;0
291;28475;2023;Month 1;0
292;28508;2023;Month 1;0
293;28764;2023;Month 1;0
294;28809;2023;Month 1;0
295;28943;2021;Month 1;0
296;29023;2023;Month 1;0
297;29048;2022;Month 1;0
298;29148;2024;Month 1;0
299;29229;2022;Month 1;0
300;29326;2022;Month 1;0
301;29438;2020;Month 1;0
302;29453;2023;Month 1;0
303;29464;2022;Month 1;0
304;29541;2020;Month 1;0
305;29619;2023;Month 1;0
306;29640;2022;Month 1;0
307;29761;2023;Month 1;0
308;29895;2023;Month 1;0
309;29921;2023;Month 1;0
310;29968;2022;Month 1;0
311;30023;2022;Month 1;0
312;30034;2022;Month 1;0
313;30035;2022;Month 1;0
314;30191;2023;Month 1;0
315;30713;2022;Month 1;0
316;30835;2023;Month 1;0
317;30882;2022;Month 1;0
318;30970;2022;Month 1;0
319;30989;2021;Month 1;0
320;31026;2023;Month 1;0
321;31057;2022;Month 1;0
322;31087;2022;Month 1;0
323;31120;2022;Month 1;0
324;31213;2022;Month 1;0
325;31251;2024;Month 1;0
326;31307;2020;Month 1;0
327;31418;2020;Month 1;0
328;31439;2023;Month 1;0
329;31492;2021;Month 1;0
330;31620;2021;Month 1;0
331;31840;2022;Month 1;0
332;31950;2023;Month 1;0
333;32294;2021;Month 1;0
334;32338;2021;Month 1;0
335;32447;2021;Month 1;0
336;32453;2022;Month 1;0
337;32631;2022;Month 1;0
338;32695;2023;Month 1;0
339;32729;2020;Month 1;0
340;32883;2021;Month 1;0
341;33122;2022;Month 1;0
342;33159;2022;Month 1;0
343;33215;2020;Month 1;0
344;33268;2022;Month 1;0
345;33285;2023;Month 1;0
346;33305;2020;Month 1;0
347;33427;2023;Month 1;0
348;33562;2022;Month 1;0
349;33607;2022;Month 1;0
350;33615;2024;Month 1;0
351;33640;2022;Month 1;0
352;33663;2022;Month 1;0
353;33680;2024;Month 1;0
354;34027;2023;Month 1;0
355;34089;2021;Month 1;0
356;34115;2022;Month 1;0
357;34131;2024;Month 1;0
358;34267;2022;Month 1;0
359;34354;2022;Month 1;0
360;34384;2023;Month 1;0
361;34411;2023;Month 1;0
362;34488;2022;Month 1;0
363;34568;2024;Month 1;0
364;34773;2024;Month 1;0
365;35108;2022;Month 1;0
366;35144;2022;Month 1;0
367;35270;2022;Month 1;0
368;35503;2023;Month 1;0
369;35654;2022;Month 1;0
370;36031;2022;Month 1;0
371;36194;2022;Month 1;0
372;36285;2023;Month 1;0
373;36414;2023;Month 1;0
374;36550;2021;Month 1;0
375;36690;2024;Month 1;0
376;36739;2023;Month 1;0
377;36795;2020;Month 1;0
378;36925;2022;Month 1;0
379;36933;2024;Month 1;0
380;36943;2023;Month 1;0
381;37127;2021;Month 1;0
382;37293;2021;Month 1;0
383;37298;2021;Month 1;0
384;37346;2023;Month 1;0
385;37382;2024;Month 1;0
386;37407;2023;Month 1;0
387;37527;2022;Month 1;0
388;37577;2022;Month 1;0
389;37618;2023;Month 1;0
390;37827;2023;Month 1;0
391;37985;2021;Month 1;0
392;38037;2021;Month 1;0
393;38049;2022;Month 1;0
394;38054;2021;Month 1;0
395;38139;2023;Month 1;0
396;38185;2022;Month 1;0
397;38198;2023;Month 1;0
398;38215;2022;Month 1;0
399;38258;2023;Month 1;0
400;38290;2024;Month 1;0
401;38309;2022;Month 1;0
402;38451;2021;Month 1;0
403;38555;2023;Month 1;0
404;38635;2023;Month 1;0
405;38637;2021;Month 1;0
406;38815;2023;Month 1;0
407;38931;2023;Month 1;0
408;38957;2022;Month 1;0
409;39090;2020;Month 1;0
410;39110;2022;Month 1;0
411;39117;2022;Month 1;0
412;39139;2023;Month 1;0
413;39299;2023;Month 1;0
414;39436;2023;Month 1;0
415;39520;2023;Month 1;0
416;39522;2022;Month 1;0
417;39600;2021;Month 1;0
418;39686;2023;Month 1;0
419;39710;2020;Month 1;0
420;39840;2023;Month 1;0
421;39857;2023;Month 1;0
422;39898;2021;Month 1;0
423;39953;2022;Month 1;0
424;39982;2020;Month 1;0
425;40037;2021;Month 1;0
426;40358;2022;Month 1;0
427;40415;2021;Month 1;0
428;40673;2022;Month 1;0
429;41245;2022;Month 1;0
430;41316;2022;Month 1;0
431;41329;2022;Month 1;0
432;41332;2020;Month 1;0
433;41380;2021;Month 1;0
434;41542;2024;Month 1;0
435;41625;2024;Month 1;0
436;41874;2021;Month 1;0
437;41931;2022;Month 1;0
438;41937;2021;Month 1;0
439;41965;2021;Month 1;0
440;42128;2021;Month 1;0
441;42253;2021;Month 1;0
442;42271;2024;Month 1;0
443;42324;2024;Month 1;0
444;42474;2023;Month 1;0
445;42506;2022;Month 1;0
446;42697;2021;Month 1;0
447;42707;2021;Month 1;0
448;42970;2021;Month 1;0
449;42971;2023;Month 1;0
450;42987;2023;Month 1;0
451;43154;2022;Month 1;0
452;43296;2022;Month 1;0
453;43415;2022;Month 1;0
454;43440;2022;Month 1;0
455;43441;2021;Month 1;0
456;43458;2022;Month 1;0
457;43495;2022;Month 1;0
458;43675;2020;Month 1;0
459;43811;2022;Month 1;0
460;43965;2023;Month 1;0
461;43990;2022;Month 1;0
462;43996;2022;Month 1;0
463;44164;2022;Month 1;0
464;44168;2022;Month 1;0
465;44421;2023;Month 1;0
466;44461;2023;Month 1;0
467;44548;2023;Month 1;0
468;44549;2020;Month 1;0
469;44550;2024;Month 1;0
470;44588;2023;Month 1;0
471;44637;2022;Month 1;0
472;44678;2021;Month 1;0
473;44738;2021;Month 1;0
474;44809;2024;Month 1;0
475;44916;2022;Month 1;0
476;44972;2023;Month 1;0
477;45152;2023;Month 1;0
478;45563;2022;Month 1;0
479;45613;2024;Month 1;0
480;45666;2024;Month 1;0
481;45890;2021;Month 1;0
482;45942;2023;Month 1;0
483;46050;2023;Month 1;0
484;46087;2021;Month 1;0
485;46144;2023;Month 1;0
486;46156;2022;Month 1;0
487;46211;2021;Month 1;0
488;46584;2021;Month 1;0
489;46591;2022;Month 1;0
490;46738;2023;Month 1;0
491;47052;2022;Month 1;0
492;47058;2023;Month 1;0
493;47155;2022;Month 1;0
494;47227;2024;Month 1;0
495;47259;2022;Month 1;0
496;47266;2021;Month 1;0
497;47320;2024;Month 1;0
498;47342;2022;Month 1;0
499;47377;2022;Month 1;0
500;47442;2022;Month 1;0
501;47588;2022;Month 1;0
502;47691;2023;Month 1;0
503;47908;2022;Month 1;0
504;47943;2023;Month 1;0
505;48007;2021;Month 1;0
506;48141;2021;Month 1;0
507;48204;2024;Month 1;0
508;48269;2023;Month 1;0
509;48360;2022;Month 1;0
510;48405;2022;Month 1;0
511;48445;2022;Month 1;0
512;48477;2022;Month 1;0
513;48508;2023;Month 1;0
514;48739;2023;Month 1;0
515;48757;2023;Month 1;0
516;49048;2022;Month 1;0
517;49095;2023;Month 1;0
518;49272;2022;Month 1;0
519;49302;2023;Month 1;0
520;49549;2020;Month 1;0
521;49639;2024;Month 1;0
522;49764;2023;Month 1;0
523;49862;2024;Month 1;0
524;49869;2022;Month 1;0
525;50006;2023;Month 1;0
526;50075;2023;Month 1;0
527;50153;2022;Month 1;0
528;50159;2022;Month 1;0
529;50181;2020;Month 1;0
530;50210;2022;Month 1;0
531;50212;2023;Month 1;0
532;50255;2022;Month 1;0
533;50396;2023;Month 1;0
534;50564;2022;Month 1;0
535;50566;2023;Month 1;0
536;50628;2020;Month 1;0
537;50718;2021;Month 1;0
538;50768;2022;Month 1;0
539;50905;2022;Month 1;0
540;51212;2022;Month 1;0
541;51241;2022;Month 1;0
542;51280;2020;Month 1;0
543;51319;2022;Month 1;0
544;51537;2020;Month 1;0
545;51565;2022;Month 1;0
546;51625;2020;Month 1;0
547;51736;2024;Month 1;0
548;51848;2022;Month 1;0
549;51869;2023;Month 1;0
550;51906;2023;Month 1;0
551;52079;2024;Month 1;0
552;52136;2023;Month 1;0
553;52225;2023;Month 1;0
554;52272;2022;Month 1;0
555;52324;2023;Month 1;0
556;52437;2021;Month 1;0
557;52545;2020;Month 1;0
558;52589;2022;Month 1;0
559;52612;2023;Month 1;0
560;52801;2022;Month 1;0
561;52854;2022;Month 1;0
562;53213;2023;Month 1;0
563;53310;2023;Month 1;0
564;53379;2021;Month 1;0
565;53509;2023;Month 1;0
566;53532;2020;Month 1;0
567;53551;2022;Month 1;0
568;53581;2024;Month 1;0
569;53670;2024;Month 1;0
570;53703;2021;Month 1;0
571;53727;2022;Month 1;0
572;53930;2022;Month 1;0
573;54105;2022;Month 1;0
574;54139;2021;Month 1;0
575;54188;2023;Month 1;0
576;54199;2021;Month 1;0
577;54272;2023;Month 1;0
578;54315;2022;Month 1;0
579;54430;2021;Month 1;0
580;54453;2024;Month 1;0
581;54473;2020;Month 1;0
582;54585;2022;Month 1;0
583;54771;2022;Month 1;0
584;54857;2022;Month 1;0
585;54988;2022;Month 1;0
586;55123;2023;Month 1;0
587;55136;2022;Month 1;0
588;55311;2022;Month 1;0
589;55319;2023;Month 1;0
590;55384;2020;Month 1;0
591;55605;2022;Month 1;0
592;55657;2020;Month 1;0
593;55660;2021;Month 1;0
594;55706;2022;Month 1;0
595;55814;2023;Month 1;0
596;55831;2021;Month 1;0
597;55867;2022;Month 1;0
598;55880;2024;Month 1;0
599;55889;2020;Month 1;0
600;55901;2023;Month 1;0
601;55907;2023;Month 1;0
602;55935;2020;Month 1;0
603;55996;2023;Month 1;0
604;56219;2023;Month 1;0
605;56291;2023;Month 1;0
606;56343;2022;Month 1;0
607;56359;2021;Month 1;0
608;56396;2023;Month 1;0
609;56794;2024;Month 1;0
610;56887;2023;Month 1;0
611;57083;2022;Month 1;0
612;57092;2023;Month 1;0
613;57221;2020;Month 1;0
614;57325;2023;Month 1;0
615;57396;2024;Month 1;0
616;57545;2022;Month 1;0
617;57607;2023;Month 1;0
618;57616;2023;Month 1;0
619;57665;2023;Month 1;0
620;57701;2022;Month 1;0
621;57753;2023;Month 1;0
622;57765;2023;Month 1;0
623;58018;2022;Month 1;0
624;58154;2023;Month 1;0
625;58383;2022;Month 1;0
626;58741;2022;Month 1;0
627;58816;2023;Month 1;0
628;59020;2024;Month 1;0
629;59095;2023;Month 1;0
630;59214;2022;Month 1;0
631;59233;2022;Month 1;0
632;59338;2022;Month 1;0
633;59391;2023;Month 1;0
634;59511;2023;Month 1;1
635;59515;2022;Month 1;0
636;59719;2021;Month 1;0
637;59792;2020;Month 1;0
638;59914;2023;Month 1;0
639;59934;2023;Month 1;0
640;59966;2022;Month 1;0
641;60056;2023;Month 1;0
642;60261;2022;Month 1;0
643;60308;2020;Month 1;0
644;60313;2022;Month 1;0
645;60402;2023;Month 1;0
646;60435;2023;Month 1;0
647;60580;2021;Month 1;0
648;60741;2023;Month 1;0
649;60931;2023;Month 1;0
650;61048;2020;Month 1;0
651;61259;2022;Month 1;0
652;61349;2022;Month 1;0
653;61352;2023;Month 1;0
654;61371;2022;Month 1;0
655;61373;2022;Month 1;0
656;61440;2022;Month 1;0
657;61639;2023;Month 1;0
658;61691;2024;Month 1;0
659;61732;2022;Month 1;0
660;61761;2021;Month 1;0
661;61811;2023;Month 1;0
662;62104;2022;Month 1;0
663;62113;2022;Month 1;0
664;62167;2021;Month 1;0
665;62248;2021;Month 1;0
666;62327;2023;Month 1;0
667;62368;2022;Month 1;0
668;62392;2023;Month 1;0
669;62597;2022;Month 1;0
670;62620;2021;Month 1;0
671;62628;2022;Month 1;0
672;62636;2023;Month 1;0
673;62695;2023;Month 1;0
674;62768;2022;Month 1;0
675;62876;2023;Month 1;0
676;62905;2021;Month 1;0
677;62989;2023;Month 1;0
678;63180;2021;Month 1;0
679;63487;2022;Month 1;0
680;63585;2021;Month 1;0
681;63601;2020;Month 1;0
682;63653;2023;Month 1;0
683;63676;2020;Month 1;0
684;63709;2022;Month 1;0
685;63772;2023;Month 1;0
686;63852;2022;Month 1;0
687;63980;2022;Month 1;0
688;64039;2023;Month 1;0
689;64041;2023;Month 1;0
690;64056;2022;Month 1;0
691;64062;2022;Month 1;0
692;64353;2021;Month 1;0
693;64381;2022;Month 1;0
694;64625;2023;Month 1;0
695;64874;2021;Month 1;0
696;64899;2020;Month 1;0
697;64918;2024;Month 1;0
698;65087;2024;Month 1;0
699;65098;2022;Month 1;0
700;65153;2022;Month 1;0
701;65169;2020;Month 1;0
702;65182;2022;Month 1;0
703;65191;2021;Month 1;0
704;65204;2020;Month 1;0
705;65317;2020;Month 1;0
706;65372;2022;Month 1;0
707;65393;2020;Month 1;0
708;65411;2023;Month 1;0
709;65539;2021;Month 1;0
710;65564;2021;Month 1;0
711;65627;2022;Month 1;0
712;65895;2021;Month 1;0
713;66014;2023;Month 1;0
714;66130;2023;Month 1;0
715;66158;2022;Month 1;0
716;66185;2023;Month 1;0
717;66274;2022;Month 1;0
718;66300;2022;Month 1;0
719;66311;2020;Month 1;0
720;66357;2021;Month 1;0
721;66429;2020;Month 1;0
722;66467;2023;Month 1;0
723;66523;2022;Month 1;0
724;66588;2023;Month 1;0
725;66589;2023;Month 1;0
726;66700;2023;Month 1;0
727;66803;2023;Month 1;0
728;66904;2022;Month 1;0
729;67091;2021;Month 1;0
730;67145;2021;Month 1;0
731;67334;2022;Month 1;0
732;67368;2021;Month 1;0
733;67370;2021;Month 1;0
734;67457;2022;Month 1;0
735;67518;2023;Month 1;0
736;67636;2022;Month 1;0
737;67639;2023;Month 1;0
738;67720;2022;Month 1;0
739;67779;2022;Month 1;0
740;67912;2020;Month 1;0
741;67924;2021;Month 1;0
742;68092;2021;Month 1;0
743;68321;2022;Month 1;0
744;68385;2022;Month 1;0
745;68406;2021;Month 1;0
746;68473;2021;Month 1;0
747;68490;2021;Month 1;0
748;68601;2021;Month 1;0
749;68702;2020;Month 1;0
750;68718;2021;Month 1;0
751;68785;2023;Month 1;0
752;68816;2021;Month 1;0
753;68891;2022;Month 1;0
754;68967;2023;Month 1;0
755;68972;2021;Month 1;0
756;69170;2024;Month 1;0
757;69434;2023;Month 1;0
758;69627;2022;Month 1;0
759;69630;2021;Month 1;0
760;69639;2023;Month 1;0
761;69701;2021;Month 1;0
762;70143;2022;Month 1;0
763;70287;2024;Month 1;0
764;70295;2024;Month 1;0
765;70400;2021;Month 1;0
766;70486;2020;Month 1;0
767;70632;2022;Month 1;0
768;70692;2021;Month 1;0
769;71038;2023;Month 1;0
770;71087;2021;Month 1;0
771;71099;2022;Month 1;0
772;71170;2022;Month 1;0
773;71247;2022;Month 1;0
774;71366;2021;Month 1;0
775;71736;2024;Month 1;0
776;71739;2024;Month 1;0
777;71858;2022;Month 1;0
778;71927;2023;Month 1;0
779;72084;2024;Month 1;0
780;72325;2022;Month 1;0
781;72453;2023;Month 1;0
782;72918;2020;Month 1;0
783;73014;2024;Month 1;0
784;73030;2023;Month 1;0
785;73082;2022;Month 1;1
786;73099;2021;Month 1;0
787;73244;2023;Month 1;0
788;73349;2021;Month 1;0
789;73424;2023;Month 1;0
790;73553;2021;Month 1;0
791;73558;2022;Month 1;0
792;73582;2020;Month 1;0
793;73844;2022;Month 1;0
794;73887;2022;Month 1;0
795;73952;2021;Month 1;0
796;74046;2022;Month 1;0
797;74229;2022;Month 1;0
798;74405;2024;Month 1;0
799;74442;2020;Month 1;0
800;74529;2021;Month 1;0
801;74562;2023;Month 1;0
802;74601;2021;Month 1;0
803;74699;2023;Month 1;0
804;74707;2021;Month 1;0
805;74899;2022;Month 1;0
806;75057;2023;Month 1;0
807;75205;2022;Month 1;0
808;75219;2022;Month 1;0
809;75365;2021;Month 1;0
810;75372;2022;Month 1;0
811;75397;2023;Month 1;0
812;75514;2020;Month 1;0
813;75616;2021;Month 1;0
814;75980;2022;Month 1;0
815;75990;2023;Month 1;0
816;76057;2022;Month 1;0
817;76404;2021;Month 1;0
818;76464;2021;Month 1;1
819;76508;2022;Month 1;0
820;76549;2022;Month 1;0
821;76624;2022;Month 1;0
822;76649;2022;Month 1;0
823;76671;2023;Month 1;0
824;76743;2020;Month 1;0
825;76775;2023;Month 1;0
826;76987;2022;Month 1;0
827;77205;2023;Month 1;0
828;77536;2023;Month 1;0
829;77696;2022;Month 1;0
830;77713;2023;Month 1;0
831;77951;2022;Month 1;0
832;78028;2022;Month 1;0
833;78032;2022;Month 1;0
834;78081;2022;Month 1;0
835;78203;2022;Month 1;0
836;78222;2023;Month 1;0
837;78246;2022;Month 1;0
838;78281;2022;Month 1;0
839;78312;2023;Month 1;0
840;78353;2023;Month 1;0
841;78424;2023;Month 1;0
842;78441;2024;Month 1;0
843;78503;2022;Month 1;0
844;78511;2021;Month 1;0
845;78627;2023;Month 1;0
846;78956;2023;Month 1;0
847;79016;2023;Month 1;0
848;79046;2021;Month 1;0
849;79059;2022;Month 1;0
850;79095;2020;Month 1;0
851;79146;2022;Month 1;0
852;79254;2023;Month 1;0
853;79317;2021;Month 1;0
854;79496;2021;Month 1;0
855;79529;2022;Month 1;0
856;79671;2023;Month 1;0
857;79703;2020;Month 1;0
858;79843;2024;Month 1;0
859;79992;2022;Month 1;0
860;80181;2024;Month 1;0
861;80707;2020;Month 1;0
862;80722;2022;Month 1;0
863;80748;2020;Month 1;0
864;81004;2021;Month 1;0
865;81046;2022;Month 1;0
866;81086;2020;Month 1;0
867;81119;2020;Month 1;0
868;81370;2023;Month 1;0
869;81389;2024;Month 1;0
870;81426;2022;Month 1;0
871;81436;2020;Month 1;0
872;81520;2022;Month 1;0
873;81586;2022;Month 1;0
874;81868;2023;Month 1;0
875;81976;2021;Month 1;0
876;82140;2022;Month 1;0
877;82158;2021;Month 1;0
878;82200;2022;Month 1;0
879;82318;2022;Month 1;0
880;82321;2023;Month 1;1
881;82410;2022;Month 1;0
882;82509;2023;Month 1;0
883;82536;2024;Month 1;0
884;82710;2022;Month 1;0
885;82767;2020;Month 1;0
886;83156;2022;Month 1;0
887;83190;2022;Month 1;0
888;83353;2022;Month 1;0
889;83394;2023;Month 1;0
890;83489;2022;Month 1;0
891;83654;2023;Month 1;0
892;83815;2023;Month 1;0
893;83826;2021;Month 1;0
894;83884;2022;Month 1;0
895;83895;2024;Month 1;0
896;84201;2022;Month 1;0
897;84207;2022;Month 1;0
898;84211;2020;Month 1;0
899;84223;2022;Month 1;0
900;84407;2022;Month 1;0
901;84557;2023;Month 1;0
902;84558;2022;Month 1;0
903;84565;2022;Month 1;0
904;84762;2023;Month 1;0
905;84864;2020;Month 1;0
906;84906;2023;Month 1;0
907;84909;2023;Month 1;0
908;85008;2023;Month 1;0
909;85162;2024;Month 1;0
910;85165;2022;Month 1;0
911;85282;2021;Month 1;0
912;85326;2020;Month 1;0
913;85460;2021;Month 1;0
914;85464;2023;Month 1;0
915;85501;2022;Month 1;0
916;85723;2022;Month 1;0
917;85762;2021;Month 1;0
918;85969;2022;Month 1;0
919;86054;2023;Month 1;0
920;86209;2021;Month 1;0
921;86243;2023;Month 1;0
922;86301;2022;Month 1;0
923;86310;2020;Month 1;0
924;86397;2023;Month 1;0
925;86444;2020;Month 1;0
926;86553;2023;Month 1;0
927;86706;2022;Month 1;0
928;86746;2024;Month 1;0
929;86799;2022;Month 1;0
